"",""
"<Language> is a two-letter language code defined in ISO 639-1, and <country> is a two-letter country code defined in ISO 3166-1 alpha-2. Usually <country> should be all capitalized, and <language> should be in lowercase. e.g. en_US, en_GB, en_AU, fr_FR, de_DE, or ja_JP.","<Language> is a two-letter language code defined in ISO 639-1, and <country> is a two-letter country code defined in ISO 3166-1 alpha-2. Usually <country> should be all capitalized, and <language> should be in lowercase. e.g. en_US, en_GB, en_AU, fr_FR, de_DE, or ja_JP."
"Action","Action"
"Add Google Merchant Information","Add Google Merchant Information"
"An error occurred while updating the google merchant information.","An error occurred while updating the google merchant information."
"Are you sure?","Are you sure?"
"Badge Container","Badge Container"
"Badge Position","Badge Position"
"Entity ID","Entity ID",
"Increment ID","Increment ID"
"CSV","CSV"
"Change status","Change status"
"Could not find google Merchant information to delete.","Could not find google Merchant information to delete."
"Created at","Created at"
"Delete Google Merchant Information","Delete Google Merchant Information"
"Delete","Delete"
"Disabled","Disabled"
"Edit Google Merchant Information '%s'","Edit Google Merchant Information '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving google Merchant information","Error saving google Merchant information"
"Excel","Excel"
"Google Merchant Information was saved","Google Merchant Information was saved"
"Google Merchant Information was successfully deleted.","Google Merchant Information was successfully deleted."
"Google Merchant Information was successfully saved","Google Merchant Information was successfully saved"
"Google Merchant Information","Google Merchant Information"
"Google Shopping Country","Google Shopping Country"
"Google Shopping Language","Google Shopping Language"
"Google Trusted Stores Id","Google Trusted Stores Id"
"Home","Home"
"Id","Id"
"Item Google Shopping Account Id","Item Google Shopping Account Id"
"Item Google Shopping Id","Item Google Shopping Id"
"Locale","Locale"
"No","No"
"None","None"
"Please select google Merchant information to delete.","Please select google Merchant information to delete."
"Please select google Merchant information.","Please select google Merchant information."
"Provide this field only if you submit feeds for Google Shopping.  Account ID from Google Merchant Center. This value should match the account ID you use to submit your product data feed to Google Shopping through Google Merchant center. If you have a MCA account, use the subaccount ID associated with that product feed.","Provide this field only if you submit feeds for Google Shopping.  Account ID from Google Merchant Center. This value should match the account ID you use to submit your product data feed to Google Shopping through Google Merchant center. If you have a MCA account, use the subaccount ID associated with that product feed."
"Provide this field only if you submit feeds for Google Shopping.  Account country from Google Shopping. This value should match the account country you use to submit your product data feed to Google Shopping.  The value of the country parameter should be a two-letter ISO 3166 country code.  For example, values could be “US”, “GB”, “AU”, “FR”, “DE”, “JP”.","Provide this field only if you submit feeds for Google Shopping.  Account country from Google Shopping. This value should match the account country you use to submit your product data feed to Google Shopping.  The value of the country parameter should be a two-letter ISO 3166 country code.  For example, values could be “US”, “GB”, “AU”, “FR”, “DE”, “JP”."
"Provide this field only if you submit feeds for Google Shopping.  Account language from Google Shopping. This value should match the account language you use to submit your product data feed to Google Shopping.  The value of the language parameter should be a two-letter ISO 639-1 language code.  For example, values could be "en", "fr", "de", "ja".","Provide this field only if you submit feeds for Google Shopping.  Account language from Google Shopping. This value should match the account language you use to submit your product data feed to Google Shopping.  The value of the language parameter should be a two-letter ISO 639-1 language code.  For example, values could be "en", "fr", "de", "ja"."
"Provide this field only if you submit feeds for Google Shopping.","Provide this field only if you submit feeds for Google Shopping."
"Required for USER_DEFINED badge position","Required for USER_DEFINED badge position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Google Merchant Information","Save Google Merchant Information"
"Status","Status"
"Store views","Store views"
"The google Merchant information has been deleted.","The google Merchant information has been deleted."
"There was a problem saving the google Merchant information.","There was a problem saving the google Merchant information."
"There was an error deleting google Merchant information.","There was an error deleting google Merchant information."
"There was an error updating google Merchant information.","There was an error updating google Merchant information."
"This google Merchant information no longer exists.","This google Merchant information no longer exists."
"Total of %d google Merchant information were successfully deleted.","Total of %d google Merchant information were successfully deleted."
"Total of %d google Merchant information were successfully updated.","Total of %d google Merchant information were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find google Merchant information to save.","Unable to find google Merchant information to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
